,cpu_requested,cpu_usage,mem_requested,mem_usage,time
1199,8031.9150441,3040.78696485,6357.00875729,2963.59517156,829827714754
1200,8136.8464511,3717.66598471,6981.67055962,3109.21565178,831170325297
1201,7435.0301824,3676.65793875,6709.86871222,3089.17153518,831481492554
1202,7434.9256004,3676.74308545,6709.85162422,3089.40981214,831505423003
1203,7156.8889014,2888.06522224,6016.85856322,2932.45897748,832379816545
1204,7183.0555614,2862.21547283,6035.20831542,2943.79667909,832593229956
1205,7355.8830304,3102.34738804,6256.88600322,3045.21721032,833674839054
1206,7350.3810234,3062.3194792,6254.03167122,3068.56006462,833807734803
1207,7184.2849939,2990.77973265,6132.82827762,3116.92839404,835488939753
1208,6964.9539274,2798.38936561,5903.34787842,2950.95751728,836124903464
1209,7018.2153851,2787.32704428,5907.28501022,2933.60523719,837404402917
1210,7015.5854181,2787.21246134,5906.56669362,2933.66919299,837418037465
1211,7221.6090211,2774.41550792,6194.53916517,2973.67795351,838179572388
1212,7379.8308537,2871.08560015,6808.10826952,3031.11045729,841794983271
1213,7172.3967907,2820.98724489,6248.80159652,3037.36792635,843715163666
1214,7155.3953667,2691.99621145,6225.68989852,3002.21003463,844190974775
1215,7234.1282457,2530.36247449,6270.13743172,3019.10389085,844559931010
1216,7301.6110367,2602.45110833,6384.44555292,3041.59908124,845389535118
1217,7270.0187617,2607.95051672,6354.11947992,3030.39555768,845827195042
1218,7292.8577214,2595.70228439,6367.64828532,3009.29144214,846040936696
1219,7224.5166321,2592.83534271,6327.33255792,3004.41536391,846188495701
1220,7191.7552967,2596.36865631,6308.97401652,2999.57008144,846875253416
1221,7015.5372877,2832.05866902,5218.31792922,3103.51380799,850984542416
1222,6982.4129797,2821.73441715,5183.92859019,3054.91455729,851149883831
1223,6624.0863057,2900.3829371,5023.26526119,2903.72159591,851866877743
1224,6625.8692387,2970.32402597,5017.09849279,2919.20101521,852151890237
1225,6893.082469,2784.16368683,5033.06144752,2899.58276164,854542852508
1226,6949.7204484,2875.25427451,4901.43682692,2907.07034847,858230528385
1227,6878.3904304,2753.46831318,4845.74765938,2885.52932856,859086285173
1228,6851.5232914,2754.0275379,4841.60187338,2884.79616948,859095272775
1229,6719.1014337,2650.68328614,4740.00332052,2834.93728195,859701602253
1230,6733.2374297,2564.94424983,4937.89558672,2794.07774611,859888951954
1231,6995.3279997,3010.45063051,5197.11775772,2883.14210428,860814948063
1232,6795.153761,2752.19091441,4937.0819431,2844.13991533,862898804831
1233,6806.407754,2732.61077957,4979.8904475,2829.96696951,862955280105
1234,6984.0537337,2762.18618574,5076.16672452,2893.57708232,864789142377
1235,6984.0537337,2762.18618574,5076.16672452,2893.57708232,864789142883
1236,7023.2177024,2786.84936888,5126.44005752,2898.04710686,864932611490
1237,7010.4311134,2899.27648156,5123.64388812,2898.86617566,865641199748
1238,7317.9200151,2672.76215347,5570.21756972,2807.5888476,868146980245
1239,7581.7954664,2423.65300808,5878.62130112,2742.57400935,868602253261
1240,7487.2386384,2342.48048447,5940.58031211,2718.85203789,868983036990
1241,7376.7427904,3016.97414726,5911.27528572,2867.09447391,869949012646
1242,7321.0462634,2871.36213085,5877.90437172,2926.68916436,870517761847
1243,7409.5451071,2931.29715593,5902.56727363,2987.99785289,870692742106
1244,7421.9527081,2936.75641114,5924.52948003,2985.93195429,870765494290
1245,7417.8839821,2934.36834913,5922.45369003,2984.90810684,870767219255
1246,7320.1102611,2876.8356778,5860.22405738,2945.01509834,870818218803
1247,7460.5009151,2677.89403248,5944.72013592,2885.51575017,871093110899
1248,7501.5059011,2961.48252471,5977.47746472,2888.08898512,871129636843
1249,7378.7840951,3233.96363802,5863.33531672,2925.26456265,871729365208
1250,7352.4537384,3217.03515135,5823.65120052,2912.49019816,871783260986
1251,7536.4763047,3255.83804533,6125.91890489,2883.86111904,872069461014
