,cpu_available,cpu_requested,mem_available,mem_requested,time
169,6616.5,7359.8409413,5873.23913,6153.39784933,220968261242
170,6616.0,7708.6708073,5872.73963,6294.91563322,221416435865
171,6615.5,7695.5052056,5871.99063,6285.86295882,221718963658
172,6616.0,7702.7613073,5872.23993,6290.66416182,221956935151
173,6617.0,7479.9795394,5873.48843,6220.31600262,222248024467
174,6617.0,7373.5004804,5873.48843,6130.36237062,222465822982
175,6617.0,7239.6110018,5873.98813,6045.04376602,223816752301
176,6616.5,7391.2350683,5873.73883,6127.50683232,225697324151
177,6617.0,7393.6060173,5873.98713,6130.81896012,225787019697
178,6616.0,7249.0416306,5873.48883,6066.37512362,228234303834
179,6616.0,7244.9245976,5873.48883,6020.83722262,228890906224
180,6617.5,7135.9944846,5874.23673,5885.34742562,231008773653
181,6618.0,7089.7027236,5874.73623,5859.06123302,231343249431
182,6617.75,7095.1940546,5874.48643,5867.12763602,231435603879
183,6617.75,7100.2566521,5874.48643,5868.18157562,233250665976
184,6617.75,7110.1955631,5874.48643,5876.47404662,233517364692
185,6620.25,7156.2201494,5876.48353,5884.77612802,234625164255
186,6619.25,7145.8080833,5875.73473,5856.72653262,235187183999
187,6618.75,7145.7127976,5875.23523,5859.85096402,235601931778
188,6619.75,7166.2710136,5876.23423,5869.86142802,236639786014
189,6619.75,7086.743346,5876.23423,5869.24297362,237612121688
190,6619.75,7202.6115126,5876.23423,5985.55581902,238329538255
191,6620.25,7196.2019026,5876.73373,5924.89634402,238744597193
192,6618.75,7261.9063026,5875.23523,5969.545836,239418454447
193,6617.25,7683.5225069,5873.98593,6752.70808302,243466748270
194,6617.25,7557.1945917,5874.23713,6723.58793592,245641398099
195,6616.75,7443.8084609,5873.73763,6314.61068552,247002957154
196,6616.25,7505.38016,5873.48833,5951.13850032,247790430864
197,6616.75,7496.4953477,5873.73763,5933.90037272,247831742086
198,6616.25,7444.8484666,5873.23813,5814.87251892,248061557628
199,6616.25,7455.2438126,5873.23813,5802.51900892,248122586091
